dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
2dplanes,CatBoost,36691,4077,0.09566894918680191,0.15233394503593445,0.006388536654412746,0.013042171485722065,0.9256806373596191,0.14832254289649427
2dplanes,ExtraTrees,36691,4077,0.09486407786607742,0.15230096876621246,0.005923550575971603,0.008477991446852684,0.9256806373596191,0.1312196779763326
2dplanes,LightGBM,36691,4077,0.09542441368103027,0.1532960683107376,0.006136345211416483,0.011614213697612286,0.9298503994941711,0.1049664169549942
2dplanes,LinearModel,36691,4077,0.23376622796058655,0.3669770658016205,0.013455860316753387,0.02132563479244709,0.8403237462043762,0.10410091408994049
2dplanes,NeuralNetFastAI,36691,4077,0.09426107257604599,0.15072131156921387,0.004373398143798113,0.00885014608502388,0.9332842826843262,0.10759570205118507
2dplanes,NeuralNetTorch,36691,4077,0.09488222748041153,0.15239250659942627,0.007446751464158297,0.010554918088018894,0.9315673112869263,0.1047562969615683
2dplanes,RandomForest,36691,4077,0.09544902294874191,0.15378759801387787,0.004488238133490086,0.013349862769246101,0.9271523356437683,0.10314271203242242
2dplanes,XGBoost,36691,4077,0.09558474272489548,0.1529323160648346,0.0061304280534386635,0.014090781100094318,0.9276428818702698,0.10147425695322454
APSFailure,CatBoost,68400,7600,0.00790544506162405,0.01560065895318985,0.0019242537673562765,0.0027832023333758116,0.9952631592750549,0.1930669890716672
APSFailure,ExtraTrees,68400,7600,0.010972450487315655,0.030452992767095566,0.0041654990054667,0.006793408188968897,0.9940789341926575,0.20154044299852103
APSFailure,LightGBM,68400,7600,0.007919725961983204,0.015733933076262474,0.001534889917820692,0.002366814063861966,0.9951315522193909,0.19400708796456456
APSFailure,LinearModel,68400,7600,0.011453112587332726,0.021787729114294052,0.0012781842378899455,0.0034092108253389597,0.99289470911026,0.19069367600604892
APSFailure,NeuralNetFastAI,68400,7600,0.009721432812511921,0.017889441922307014,0.0025164345279335976,0.0037036568392068148,0.9934210777282715,0.1834212049143389
APSFailure,NeuralNetTorch,68400,7600,0.010783406905829906,0.020806988701224327,0.001700347289443016,0.0031163652893155813,0.9931579232215881,0.18681848503183573
APSFailure,RandomForest,68400,7600,0.010582482442259789,0.03764447197318077,0.006105941254645586,0.009605571627616882,0.9951315522193909,0.2015481200069189
APSFailure,XGBoost,68400,7600,0.00768645666539669,0.015189331024885178,0.0019190713064745069,0.002135420450940728,0.9952631592750549,0.19112459605094045
Amazon_employee_access,CatBoost,29492,3277,0.0719987154006958,0.13422434031963348,0.00597345782443881,0.010864973068237305,0.9545316100120544,0.08325409598182887
Amazon_employee_access,ExtraTrees,29492,3277,0.08103986084461212,0.15167202055454254,0.011745892465114594,0.019524045288562775,0.9469026327133179,0.08409566699992865
Amazon_employee_access,LightGBM,29492,3277,0.07908070832490921,0.15146344900131226,0.006466222926974297,0.00782129354774952,0.9499542117118835,0.08398326800670475
Amazon_employee_access,LinearModel,29492,3277,0.08392538130283356,0.15648230910301208,0.006386213935911655,0.00805805716663599,0.9453768730163574,0.0836556579452008
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08378573507070541,0.15563413500785828,0.007639692630618811,0.013612006790935993,0.9481232762336731,0.08122913108672947
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08570532500743866,0.16170401871204376,0.016457339748740196,0.01855328679084778,0.9465975165367126,0.08120451401919127
Amazon_employee_access,RandomForest,29492,3277,0.07882186770439148,0.15103405714035034,0.026643268764019012,0.03298594802618027,0.9478181004524231,0.08638365392107517
Amazon_employee_access,XGBoost,29492,3277,0.07554250210523605,0.14387527108192444,0.004709060303866863,0.009283425286412239,0.951785147190094,0.0834103119559586
Australian,CatBoost,621,69,0.17612899839878082,0.2907930016517639,0.05096367374062538,0.06911251693964005,0.8695651888847351,0.004542940063402057
Australian,ExtraTrees,621,69,0.17212191224098206,0.2902728021144867,0.06118587404489517,0.10149110853672028,0.8550724387168884,0.00453726202249527
Australian,LightGBM,621,69,0.17528656125068665,0.3194452226161957,0.060134679079055786,0.0887126624584198,0.8695651888847351,0.004514912026934326
Australian,LinearModel,621,69,0.1705426126718521,0.2923663258552551,0.05980611965060234,0.1318105012178421,0.9130434989929199,0.004402084043249488
Australian,NeuralNetFastAI,621,69,0.15939964354038239,0.28478196263313293,0.06613156944513321,0.074717216193676,0.8985507488250732,0.004182306933216751
Australian,NeuralNetTorch,621,69,0.16440173983573914,0.28042373061180115,0.03859685733914375,0.09795745462179184,0.8840579986572266,0.004569854005239904
Australian,RandomForest,621,69,0.18015262484550476,0.3262474238872528,0.07938738167285919,0.15446323156356812,0.8550724387168884,0.004515148000791669
Australian,XGBoost,621,69,0.15012048184871674,0.26215821504592896,0.04814984276890755,0.09698376804590225,0.8840579986572266,0.004522571922279894
Bioresponse,CatBoost,3375,376,0.27733927965164185,0.43529361486434937,0.02179362252354622,0.06771023571491241,0.8164893388748169,0.011943363933824003
Bioresponse,ExtraTrees,3375,376,0.28284943103790283,0.4316426217556,0.01759367436170578,0.049774400889873505,0.7952127456665039,0.012276837951503694
Bioresponse,LightGBM,3375,376,0.27676257491111755,0.4325992465019226,0.02478214167058468,0.05734536424279213,0.8218085169792175,0.012099415995180607
Bioresponse,LinearModel,3375,376,0.4309520423412323,0.6192013025283813,0.10959663987159729,0.13771769404411316,0.7473404407501221,0.011970632011070848
