dataset,model,cal_size,test_size,XGBoost_brier,XGBoost_logloss,XGBoost_kuiper,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
2dplanes,CatBoost,36691,4077,0.09551983326673508,0.1646682322025299,0.01372961699962616,0.02272767573595047,0.9261711835861206,0.17302751913666725
2dplanes,ExtraTrees,36691,4077,0.0953063815832138,0.16491933166980743,0.008932145312428474,0.018741073086857796,0.9261711835861206,0.12936384696513414
2dplanes,LightGBM,36691,4077,0.09503203630447388,0.16443631052970886,0.016155200079083443,0.017980782315135002,0.9254353642463684,0.13288388773798943
2dplanes,LinearModel,36691,4077,0.23015619814395905,0.3630894422531128,0.01316366158425808,0.02187366411089897,0.8425312638282776,0.13978936523199081
2dplanes,NeuralNetFastAI,36691,4077,0.0946778729557991,0.16366349160671234,0.013978101313114166,0.016907528042793274,0.9305862188339233,0.13289841450750828
2dplanes,NeuralNetTorch,36691,4077,0.09496363997459412,0.16473785042762756,0.010566264390945435,0.018708486109972,0.9315673112869263,0.13383574038743973
2dplanes,RandomForest,36691,4077,0.0949687585234642,0.16476085782051086,0.011418264359235764,0.020305143669247627,0.9320578575134277,0.13544877991080284
2dplanes,XGBoost,36691,4077,0.09489787369966507,0.16414529085159302,0.015267735347151756,0.018740545958280563,0.9303409457206726,0.13171810656785965
APSFailure,CatBoost,68400,7600,0.011566917411983013,0.02149868570268154,0.005887053906917572,0.0065237185917794704,0.9951315522193909,0.2140995180234313
APSFailure,ExtraTrees,68400,7600,0.010067809373140335,0.019223766401410103,0.002521068789064884,0.0036684582009911537,0.9939473867416382,0.18039487581700087
APSFailure,LightGBM,68400,7600,0.007937638089060783,0.020685799419879913,0.0014548092149198055,0.002450800035148859,0.9955263137817383,0.20633229613304138
APSFailure,LinearModel,68400,7600,0.01283346302807331,0.033778659999370575,0.0022211181931197643,0.004856253508478403,0.99289470911026,0.20970236044377089
APSFailure,NeuralNetFastAI,68400,7600,0.010904934257268906,0.020922990515828133,0.004469772335141897,0.006334442179650068,0.9948683977127075,0.21705386601388454
APSFailure,NeuralNetTorch,68400,7600,0.011042811907827854,0.021560262888669968,0.0018713711760938168,0.0033069737255573273,0.9932894706726074,0.21835105586797
APSFailure,RandomForest,68400,7600,0.008112183772027493,0.016560977324843407,0.0012617993634194136,0.0025239610113203526,0.9948683977127075,0.17708327528089285
APSFailure,XGBoost,68400,7600,0.00788503885269165,0.01575392484664917,0.0014326218515634537,0.0027776577044278383,0.9951315522193909,0.21373926382511854
Amazon_employee_access,CatBoost,29492,3277,0.0730450376868248,0.13552753627300262,0.007616005837917328,0.010332725010812283,0.952395498752594,0.11769457254558802
Amazon_employee_access,ExtraTrees,29492,3277,0.07898709923028946,0.14853797852993011,0.007116026245057583,0.010607068426907063,0.9493439197540283,0.11711837910115719
Amazon_employee_access,LightGBM,29492,3277,0.07922635972499847,0.1513160765171051,0.006393939256668091,0.012731999158859253,0.9484284520149231,0.11569211166352034
Amazon_employee_access,LinearModel,29492,3277,0.08385969698429108,0.15696550905704498,0.004509434103965759,0.006436237134039402,0.9459871649742126,0.11758281383663416
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08388140797615051,0.15600091218948364,0.004646774381399155,0.009682519361376762,0.9462923407554626,0.11749592516571283
