dataset,model,cal_size,test_size,n_classes,BBQ_brier,BBQ_logloss,BBQ_ece-15,BBQ_accuracy,BBQ_time
Diabetes130US,CatBoost,91589,10177,3,0.49287732438448884,0.8283020207769992,0.005149931646883488,0.6216959953308105,22.598061184980907
Diabetes130US,ExtraTrees,91589,10177,3,0.5059061188032816,0.8486073850383884,0.005801669787615538,0.60951167345047,22.157943770987913
Diabetes130US,LightGBM,91589,10177,3,0.49759179857682645,0.8363927787766092,0.0076108756475150585,0.6190429329872131,22.393826148007065
Diabetes130US,LinearModel,91589,10177,3,0.5264991997508303,0.8791924396264233,0.009867721237242222,0.5941829681396484,22.391059524961747
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5035517408512247,0.8460256707164908,0.018203210085630417,0.6206151247024536,22.44992319494486
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5115674074733739,0.8576986466938497,0.00926634669303894,0.6066620945930481,22.303300369996578
Diabetes130US,RandomForest,91589,10177,3,0.5047454751233909,0.8472567531239232,0.005519992206245661,0.6092168688774109,22.247671697987244
Diabetes130US,XGBoost,91589,10177,3,0.4942478822004291,0.8293984695277826,0.0076799336820840836,0.6210081577301025,22.498400128097273
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3887412879048491,0.7578216446684483,0.0323837585747242,0.7196356058120728,2.0479697569971904
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.41641655368988545,0.7998897631500332,0.05260954052209854,0.6983805894851685,2.144918062025681
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39219386608953544,0.7691943049059938,0.043004587292671204,0.7155870199203491,2.053297689068131
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.64656775004542,1.2595411608479123,0.03713478520512581,0.47165992856025696,2.152624489972368
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5082399586071482,0.9883402944736371,0.03227562457323074,0.6285424828529358,2.1327958829933777
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4916987405896659,0.9637390606207477,0.05704484134912491,0.6396760940551758,2.1491964369779453
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4293016247631075,0.8275713842535808,0.050070565193891525,0.6801619529724121,2.1522864140570164
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3928479496164023,0.7742445130693613,0.06327654421329498,0.7186234593391418,2.01574207295198
Indian_pines,CatBoost,8229,915,8,0.07181762357961448,0.14340375332090022,0.024013133719563484,0.9551912546157837,2.3883840800262988
Indian_pines,ExtraTrees,8229,915,8,0.10588260738802943,0.18922978914792132,0.023334860801696777,0.9333333373069763,2.3788563599810004
Indian_pines,LightGBM,8229,915,8,0.058406468997566845,0.1280583459259101,0.024696962907910347,0.9661202430725098,2.3408380709588528
Indian_pines,LinearModel,8229,915,8,0.11984075186151256,0.2403073482000357,0.012317635118961334,0.9202185869216919,2.3690382089698687
Indian_pines,NeuralNetFastAI,8229,915,8,0.05338223183168915,0.10961904109049393,0.0111542372033,0.9672130942344666,2.3292091629700735
Indian_pines,NeuralNetTorch,8229,915,8,0.045037470472788006,0.09213741621279635,0.013839129358530045,0.9683060050010681,2.30062405904755
Indian_pines,RandomForest,8229,915,8,0.11159716279502245,0.19882767571350277,0.02352037839591503,0.9300546646118164,2.3797712340019643
Indian_pines,XGBoost,8229,915,8,0.06968937232748153,0.13944470242320348,0.02276727557182312,0.9562841653823853,2.363366532023065
LED-display-domain-7digit,CatBoost,450,50,10,0.41925208960755095,1.089538187664188,0.05490536615252495,0.699999988079071,0.3401050119427964
LED-display-domain-7digit,ExtraTrees,450,50,10,0.4091794361175893,0.9760529010721812,0.12127462029457092,0.7400000095367432,0.33951965905725956
LED-display-domain-7digit,LightGBM,450,50,10,0.32903683144064744,0.7700758686159355,0.06942392140626907,0.800000011920929,0.33944239595439285
LED-display-domain-7digit,LinearModel,450,50,10,0.3489605389544012,0.7812901855390266,0.06042666733264923,0.7400000095367432,0.3385728339198977
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.37085007017336435,0.8500537560806489,0.1046203225851059,0.7599999904632568,0.338481705985032
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3553051862711352,0.8433173900411339,0.05555402860045433,0.7599999904632568,0.33696629595942795
LED-display-domain-7digit,RandomForest,450,50,10,0.3899771886311474,1.076912030822323,0.0790211409330368,0.7599999904632568,0.3402502640383318
LED-display-domain-7digit,XGBoost,450,50,10,0.34975584874821225,0.782437512403495,0.11606726795434952,0.7799999713897705,0.3394701649667695
MiceProtein,CatBoost,972,108,8,0.0005257612235969961,0.002581358876184567,0.002423381432890892,1.0,0.40447436296381056
MiceProtein,ExtraTrees,972,108,8,0.0011150177948064614,0.0044343602548894715,0.004097340162843466,1.0,0.42299685708712786
