dataset,model,cal_size,test_size,n_classes,Base-model_brier,Base-model_logloss,Base-model_ece-15,Base-model_accuracy,Base-model_time
Diabetes130US,CatBoost,91589,10177,3,0.4928146302700043,0.8281418681144714,0.006059378385543823,0.6229733824729919,0
Diabetes130US,ExtraTrees,91589,10177,3,0.5068158507347107,0.8500220775604248,0.019050434231758118,0.6107890605926514,0
Diabetes130US,LightGBM,91589,10177,3,0.4971708655357361,0.8355969190597534,0.011190786026418209,0.6208116412162781,0
Diabetes130US,LinearModel,91589,10177,3,0.5267290472984314,0.880045473575592,0.008442358113825321,0.5932003259658813,0
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030616521835327,0.8442839980125427,0.014840861782431602,0.6176673173904419,0
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5107244253158569,0.8555872440338135,0.007525007240474224,0.6066620945930481,0
Diabetes130US,RandomForest,91589,10177,3,0.5051022171974182,0.8474288582801819,0.012363377958536148,0.607742965221405,0
Diabetes130US,XGBoost,91589,10177,3,0.49430254101753235,0.8294655084609985,0.013438836671411991,0.6237594485282898,0
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3932775557041168,0.7540581226348877,0.04794803261756897,0.7105262875556946,0
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4570396840572357,0.8852123022079468,0.15380573272705078,0.6953441500663757,0
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3979206085205078,0.7679412364959717,0.03372861444950104,0.7125505805015564,0
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6515325903892517,1.2707005739212036,0.04118657857179642,0.4635627567768097,0
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5078685283660889,0.9754080772399902,0.03755136579275131,0.6285424828529358,0
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4905993938446045,0.9432570934295654,0.037493761628866196,0.6346153616905212,0
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.45482873916625977,0.8871901035308838,0.11519906669855118,0.6751012206077576,0
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.40184786915779114,0.7747727632522583,0.04452213644981384,0.7115384340286255,0
Indian_pines,CatBoost,8229,915,8,0.07191605865955353,0.12808337807655334,0.021076899021863937,0.9508196711540222,0
Indian_pines,ExtraTrees,8229,915,8,0.13141949474811554,0.23868033289909363,0.09625889360904694,0.9344262480735779,0
Indian_pines,LightGBM,8229,915,8,0.0569186769425869,0.11396966874599457,0.012317471206188202,0.9661202430725098,0
Indian_pines,LinearModel,8229,915,8,0.11637486517429352,0.23034635186195374,0.02045002579689026,0.9256830811500549,0
Indian_pines,NeuralNetFastAI,8229,915,8,0.0536743588745594,0.09779120236635208,0.0116927744820714,0.9672130942344666,0
Indian_pines,NeuralNetTorch,8229,915,8,0.04573296010494232,0.08493723720312119,0.01096596010029316,0.9683060050010681,0
Indian_pines,RandomForest,8229,915,8,0.1350533813238144,0.2422528713941574,0.09790172427892685,0.9355190992355347,0
Indian_pines,XGBoost,8229,915,8,0.06609557569026947,0.11779451370239258,0.010038018226623535,0.9584699273109436,0
LED-display-domain-7digit,CatBoost,450,50,10,0.3974764943122864,0.8225218057632446,0.13546763360500336,0.7200000286102295,0
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3711494505405426,0.7690776586532593,0.1465986669063568,0.800000011920929,0
LED-display-domain-7digit,LightGBM,450,50,10,0.34609276056289673,0.7122209668159485,0.17070192098617554,0.7799999713897705,0
LED-display-domain-7digit,LinearModel,450,50,10,0.361963152885437,0.7288869619369507,0.1727689951658249,0.7200000286102295,0
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3680604100227356,0.743904709815979,0.12328141182661057,0.7200000286102295,0
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3576480448246002,0.7019145488739014,0.17926593124866486,0.7200000286102295,0
LED-display-domain-7digit,RandomForest,450,50,10,0.3885931372642517,0.7998011708259583,0.16744086146354675,0.7200000286102295,0
LED-display-domain-7digit,XGBoost,450,50,10,0.3780932128429413,0.7881268858909607,0.1306242048740387,0.7200000286102295,0
MiceProtein,CatBoost,972,108,8,0.004152233712375164,0.01390309538692236,0.012099245563149452,1.0,0
MiceProtein,ExtraTrees,972,108,8,0.0717819333076477,0.23420371115207672,0.1986112743616104,1.0,0
MiceProtein,LightGBM,972,108,8,0.0006209538551047444,0.003703799331560731,0.003481777850538492,1.0,0
MiceProtein,LinearModel,972,108,8,0.001989508979022503,0.011190986260771751,0.010598741471767426,1.0,0
MiceProtein,NeuralNetFastAI,972,108,8,0.001706044073216617,0.00984911434352398,0.009308765642344952,1.0,0
MiceProtein,NeuralNetTorch,972,108,8,0.00045784172834828496,0.0027983617037534714,0.0026730005629360676,1.0,0
MiceProtein,RandomForest,972,108,8,0.11552166193723679,0.2794080376625061,0.1401238590478897,0.9444444179534912,0
MiceProtein,XGBoost,972,108,8,0.027572812512516975,0.06517313420772552,0.0387616828083992,0.9722222089767456,0
Traffic_violations,CatBoost,63306,7034,3,0.2680613100528717,0.403450608253479,0.011952278204262257,0.7998294234275818,0
Traffic_violations,ExtraTrees,63306,7034,3,0.27767884731292725,0.41960686445236206,0.007088214159011841,0.790446400642395,0
Traffic_violations,LightGBM,63306,7034,3,0.27193328738212585,0.41062667965888977,0.008936493657529354,0.7959908843040466,0
Traffic_violations,LinearModel,63306,7034,3,0.27691975235939026,0.41747716069221497,0.012195438146591187,0.7908729314804077,0
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2756115198135376,0.4131720960140228,0.010608297772705555,0.7932897210121155,0
Traffic_violations,NeuralNetTorch,63306,7034,3,0.28898897767066956,0.4380407929420471,0.009907701052725315,0.7817742228507996,0
Traffic_violations,RandomForest,63306,7034,3,0.2736503779888153,0.4116082787513733,0.012846965342760086,0.7942848801612854,0
Traffic_violations,XGBoost,63306,7034,3,0.27295833826065063,0.409579873085022,0.008523945696651936,0.7931475639343262,0
UMIST_Faces_Cropped,CatBoost,517,58,20,0.019818328320980072,0.05769891291856766,0.040602121502161026,1.0,0
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.07369211316108704,0.23515872657299042,0.18218469619750977,1.0,0
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05017576366662979,0.1560242623090744,0.027173081412911415,0.9655172228813171,0
UMIST_Faces_Cropped,LinearModel,517,58,20,0.04763927683234215,0.13667505979537964,0.02687627077102661,0.9655172228813171,0
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03363068029284477,0.22301886975765228,0.01172727346420288,0.982758641242981,0
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.0544508621096611,0.3247736990451813,0.05423412472009659,0.982758641242981,0
UMIST_Faces_Cropped,RandomForest,517,58,20,0.08305800706148148,0.2693156599998474,0.19000059366226196,0.982758641242981,0
UMIST_Faces_Cropped,XGBoost,517,58,20,0.08268658816814423,0.257953405380249,0.0814458504319191,0.9137930870056152,0
analcatdata_authorship,CatBoost,756,85,4,0.036008138209581375,0.05224289000034332,0.026273228228092194,0.9764705896377563,0
analcatdata_authorship,ExtraTrees,756,85,4,0.06171974167227745,0.16555443406105042,0.12031377851963043,0.9764705896377563,0
analcatdata_authorship,LightGBM,756,85,4,0.025425733998417854,0.061750490218400955,0.014865096658468246,0.9882352948188782,0
analcatdata_authorship,LinearModel,756,85,4,0.024114485830068588,0.049973078072071075,0.013127006590366364,0.9882352948188782,0
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.02025897428393364,0.03779765963554382,0.022022318094968796,0.9882352948188782,0
analcatdata_authorship,NeuralNetTorch,756,85,4,0.02534073032438755,0.04721958562731743,0.02260288968682289,0.9882352948188782,0
analcatdata_authorship,RandomForest,756,85,4,0.06151791289448738,0.13571056723594666,0.07133349776268005,0.9529411792755127,0
analcatdata_authorship,XGBoost,756,85,4,0.012017070315778255,0.02817273698747158,0.023166390135884285,0.9882352948188782,0
analcatdata_dmft,CatBoost,717,80,6,0.812544047832489,1.7251510620117188,0.0643792450428009,0.23749999701976776,0
analcatdata_dmft,ExtraTrees,717,80,6,0.8133649826049805,1.7293169498443604,0.025361832231283188,0.23749999701976776,0
analcatdata_dmft,LightGBM,717,80,6,0.8092125654220581,1.7160377502441406,0.028774023056030273,0.20000000298023224,0
analcatdata_dmft,LinearModel,717,80,6,0.8102691769599915,1.7193794250488281,0.04760902747511864,0.23749999701976776,0
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8117274045944214,1.7233883142471313,0.06779778748750687,0.17499999701976776,0
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8068228960037231,1.711220383644104,0.040687836706638336,0.25,0
analcatdata_dmft,RandomForest,717,80,6,0.8136841058731079,1.7281274795532227,0.017760299146175385,0.22499999403953552,0
analcatdata_dmft,XGBoost,717,80,6,0.8117809295654297,1.727278470993042,0.05222765728831291,0.2750000059604645,0
artificial-characters,CatBoost,9196,1022,10,0.07282642275094986,0.17071707546710968,0.04991520941257477,0.9598825573921204,0
artificial-characters,ExtraTrees,9196,1022,10,0.11622967571020126,0.2598923444747925,0.1222897544503212,0.9559686779975891,0
artificial-characters,LightGBM,9196,1022,10,0.05696243420243263,0.13519737124443054,0.039361488074064255,0.9608610272407532,0
artificial-characters,LinearModel,9196,1022,10,0.753480851650238,1.7017009258270264,0.05317253991961479,0.3307240605354309,0
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3561629056930542,0.5937849879264832,0.036042213439941406,0.7054794430732727,0
artificial-characters,NeuralNetTorch,9196,1022,10,0.3454502522945404,0.5837950706481934,0.051125846803188324,0.7172211408615112,0
artificial-characters,RandomForest,9196,1022,10,0.11606652289628983,0.2624281644821167,0.11782534420490265,0.9559686779975891,0
artificial-characters,XGBoost,9196,1022,10,0.06570613384246826,0.1545969843864441,0.03968479111790657,0.9647749662399292,0
autoUniv-au6-750,CatBoost,675,75,8,0.8470575213432312,1.9904909133911133,0.06901049613952637,0.2133333384990692,0
autoUniv-au6-750,ExtraTrees,675,75,8,0.8453648090362549,1.9854992628097534,0.04554488882422447,0.23999999463558197,0
autoUniv-au6-750,LightGBM,675,75,8,0.825452446937561,1.9269938468933105,0.12283945083618164,0.36000001430511475,0
autoUniv-au6-750,LinearModel,675,75,8,0.9062073826789856,2.2894349098205566,0.1563710868358612,0.1733333319425583,0
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8553009033203125,2.0063440799713135,0.03748239576816559,0.2266666740179062,0
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8517693877220154,1.9919430017471313,0.03748112544417381,0.2133333384990692,0
autoUniv-au6-750,RandomForest,675,75,8,0.7929167747497559,1.853677749633789,0.12103303521871567,0.3866666555404663,0
autoUniv-au6-750,XGBoost,675,75,8,0.8297000527381897,1.9462202787399292,0.21559391915798187,0.4000000059604645,0
autoUniv-au7-1100,CatBoost,990,110,5,0.7295825481414795,1.4064910411834717,0.1426926702260971,0.4363636374473572,0
