dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
Diabetes130US,CatBoost,91589,10177,3,0.4928129943325244,0.8338306701763298,0.0024621905758976936,0.6217942237854004,0.10885995626449585
Diabetes130US,ExtraTrees,91589,10177,3,0.5055694338479451,0.8475156425793348,0.006551382131874561,0.6102977395057678,0.10556592419743538
Diabetes130US,LightGBM,91589,10177,3,0.4971671347057458,0.8356012784311609,0.009198959916830063,0.6214994788169861,0.10393969714641571
Diabetes130US,LinearModel,91589,10177,3,0.5261013262349222,0.8784112202324276,0.01325087621808052,0.5931020975112915,0.10467315092682838
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030781295224338,0.8441747159669468,0.013759712688624859,0.6170777082443237,0.10727783292531967
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5109674347000697,0.856009461784356,0.009758692234754562,0.607055127620697,0.10405590385198593
Diabetes130US,RandomForest,91589,10177,3,0.5046871423314364,0.8466587097794807,0.00671236589550972,0.6087255477905273,0.10596959665417671
Diabetes130US,XGBoost,91589,10177,3,0.49398093704384916,0.8284157781041375,0.011879576370120049,0.6230716109275818,0.10672421008348465
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3870239016813409,0.8037206556007978,0.02686755545437336,0.7176113128662109,0.023817531764507294
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.41329919932833564,0.852689720069656,0.04426442086696625,0.6973684430122375,0.024254437536001205
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39012572104661514,0.873832168404755,0.04174475744366646,0.7145748734474182,0.023855581879615784
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.647166389720074,1.2561647022803155,0.0343405082821846,0.4625506103038788,0.02333858609199524
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5040432988252943,0.9647126252834844,0.03348667547106743,0.6285424828529358,0.02449677884578705
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4887110152561023,0.9427323432456767,0.04104794189333916,0.6427125334739685,0.023791924118995667
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4253140699808019,0.8682519409947972,0.03978699445724487,0.6781376600265503,0.024795636534690857
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3911839758482876,0.8126056804994518,0.03985893353819847,0.7145748734474182,0.02391090989112854
Indian_pines,CatBoost,8229,915,8,0.07160909630142684,0.13050957881281497,0.026328764855861664,0.9573770761489868,0.030916541814804077
