dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
Diabetes130US,CatBoost,91589,10177,3,0.49271199249590203,0.8275554124299569,0.007768576964735985,0.6215977072715759,18.99486962798983
Diabetes130US,ExtraTrees,91589,10177,3,0.5055492125713809,0.8476665226154166,0.009137071669101715,0.6108872890472412,19.231533586978912
Diabetes130US,LightGBM,91589,10177,3,0.49712761044895165,0.8350160642578734,0.011036408133804798,0.6204186081886292,17.112370576243848
Diabetes130US,LinearModel,91589,10177,3,0.5255352512382819,0.8775268858708264,0.007526261731982231,0.5927090644836426,17.810619906056672
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030099229106406,0.8440838607671796,0.016377421095967293,0.6189447045326233,20.900076020974666
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110102757025237,0.8560305238215693,0.009786562994122505,0.6078411936759949,19.640262749046087
Diabetes130US,RandomForest,91589,10177,3,0.5047152479342127,0.846817508607406,0.00607318477705121,0.6078411936759949,17.656583704054356
Diabetes130US,XGBoost,91589,10177,3,0.4938735576568314,0.8280927936840957,0.008019295521080494,0.621892511844635,23.99700734904036
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3841133094210287,0.7326679834666512,0.027683233842253685,0.7176113128662109,5.797701988834888
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.3988388517416495,0.7598451694046902,0.025111716240644455,0.7054656147956848,5.326809572987258
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3844124635210396,0.7337617933889248,0.04032176733016968,0.7145748734474182,5.316109150182456
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6229552958103856,1.2038894190570528,0.029711119830608368,0.5050607323646545,7.832794774789363
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5047236790950426,0.9697280459733958,0.026205364614725113,0.6275303363800049,4.962717117276043
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.48973398384227873,0.9468009085421598,0.03960167244076729,0.647773265838623,3.8042874387465417
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4119516148720032,0.7861260042276577,0.0336986742913723,0.6943320035934448,5.0467455349862576
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3820567087619983,0.7328443645006072,0.03690877556800842,0.71659916639328,5.393689165823162
Indian_pines,CatBoost,8229,915,8,0.06611854195899138,0.12337091649984211,0.024998638778924942,0.9584699273109436,8.481935435906053
Indian_pines,ExtraTrees,8229,915,8,0.10588783295417997,0.1833738383499993,0.023584306240081787,0.9322404265403748,9.554662855807692
Indian_pines,LightGBM,8229,915,8,0.059084311569349506,0.11046805261210708,0.017061520367860794,0.9617486596107483,9.98165303375572
Indian_pines,LinearModel,8229,915,8,0.11056165269261778,0.19710373114693874,0.019738297909498215,0.9289617538452148,12.507803592365235
Indian_pines,NeuralNetFastAI,8229,915,8,0.05506410862860277,0.10185342646705792,0.009248246438801289,0.9650273323059082,9.339124589692801
Indian_pines,NeuralNetTorch,8229,915,8,0.045087446528867245,0.08730316009106127,0.016161920502781868,0.9726775884628296,7.861864208709449
Indian_pines,RandomForest,8229,915,8,0.10905727543373281,0.1884903948563947,0.027864769101142883,0.9333333373069763,10.270481448154896
Indian_pines,XGBoost,8229,915,8,0.06360673099011904,0.11783431418785593,0.023829743266105652,0.9617486596107483,9.231574188917875
LED-display-domain-7digit,CatBoost,450,50,10,0.41772754470407336,0.8948825907779303,0.1327744871377945,0.699999988079071,1.7455091569572687
LED-display-domain-7digit,ExtraTrees,450,50,10,0.4082717041397171,0.8788209269861056,0.15261992812156677,0.699999988079071,4.398099494166672
LED-display-domain-7digit,LightGBM,450,50,10,0.372224520518439,0.8082669156307958,0.18782298266887665,0.7200000286102295,1.8590869172476232
LED-display-domain-7digit,LinearModel,450,50,10,0.39616962643618636,0.8450798399735572,0.12581713497638702,0.7200000286102295,1.89980887202546
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3706662821671789,0.7940361109819968,0.13048097491264343,0.7400000095367432,1.8188004200346768
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.38325240178141984,0.820174711736347,0.1189604178071022,0.7400000095367432,1.8679702384397388
LED-display-domain-7digit,RandomForest,450,50,10,0.3903212503049597,0.8301934263361942,0.1646493524312973,0.699999988079071,4.60587321780622
LED-display-domain-7digit,XGBoost,450,50,10,0.38031610199430405,0.8151678590746019,0.10873138904571533,0.7200000286102295,1.8577630310319364
MiceProtein,CatBoost,972,108,8,0.009524530349618627,0.020876874371715218,0.01048092357814312,0.9907407164573669,5.978590309154242
MiceProtein,ExtraTrees,972,108,8,0.005165181164848466,0.010701688010466821,0.007672188803553581,1.0,7.266173957847059
MiceProtein,LightGBM,972,108,8,0.0015907438542338364,0.007463647898716478,0.006827728822827339,1.0,9.85683314409107
MiceProtein,LinearModel,972,108,8,0.0009486698669740594,0.009587394043204647,0.009285305626690388,1.0,6.231445773039013
MiceProtein,NeuralNetFastAI,972,108,8,0.0017605452049834546,0.010043884537671733,0.009423092007637024,1.0,9.938627996016294
MiceProtein,NeuralNetTorch,972,108,8,0.0010400215114927443,0.007860140705933797,0.007532558403909206,1.0,4.822932614013553
MiceProtein,RandomForest,972,108,8,0.06311042975973677,0.13599311652911683,0.019625835120677948,0.9537037014961243,3.920760003849864
MiceProtein,XGBoost,972,108,8,0.0118629225920296,0.030151513340928866,0.024083267897367477,1.0,4.291529736015946
Traffic_violations,CatBoost,63306,7034,3,0.2682773224848583,0.4048642171062492,0.00936936866492033,0.7986920475959778,16.95188876707107
Traffic_violations,ExtraTrees,63306,7034,3,0.2774694619847167,0.41782909522273454,0.007319507654756308,0.7915837168693542,12.805640978738666
Traffic_violations,LightGBM,63306,7034,3,0.27199214388191395,0.41085107201353926,0.008483410812914371,0.7947114109992981,15.2030289596878
