dataset,model,cal_size,test_size,n_classes,Dirichlet_logloss,Dirichlet_brier,Dirichlet_accuracy,Dirichlet_ece-15,Dirichlet_time
Diabetes130US,CatBoost,91589,10177,3,0.8282000817588505,0.49283898499718315,0.6231698989868164,0.009148970246315002,4.865487709000263
Diabetes130US,ExtraTrees,91589,10177,3,0.848076932882614,0.5057786061057764,0.6102977395057678,0.0068239010870456696,0.29507762499997625
Diabetes130US,LightGBM,91589,10177,3,0.8357928208358967,0.4973193448919234,0.621892511844635,0.013630926609039307,0.3242811250001978
Diabetes130US,LinearModel,91589,10177,3,0.8782727769602909,0.5263055175610145,0.5887786149978638,0.019368227571249008,0.41468683400034934
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.8448757504487782,0.5034261524017334,0.6191412210464478,0.019903071224689484,0.32336870900053327
Diabetes130US,NeuralNetTorch,91589,10177,3,0.8563227755350671,0.5110168569698862,0.6086273193359375,0.010772818699479103,0.3043638339995596
Diabetes130US,RandomForest,91589,10177,3,0.8465885994424814,0.504686322825067,0.607448160648346,0.007162509020417929,0.32619770800010883
Diabetes130US,XGBoost,91589,10177,3,0.8292087957006494,0.49423722412409354,0.6220890283584595,0.012740330770611763,0.32587045899981604
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.739941818570727,0.3862558406852028,0.71659916639328,0.03673167526721954,4.200310917000024
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.7878737698920096,0.41099232081754955,0.7024291753768921,0.05027090385556221,0.27862924999953975
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.7349018711486694,0.38368918150741327,0.7125505805015564,0.03559073060750961,0.31522195800062036
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,1.2564951139946394,0.6463385501345069,0.4635627567768097,0.04767001420259476,0.25314820899984625
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.9759689591160506,0.5089939686001349,0.6325910687446594,0.059949588030576706,0.24935283299964794
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.950183112572541,0.49347642664331826,0.637651801109314,0.049090467393398285,0.23316895799962367
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.8206010419871425,0.42308607467248366,0.6842105388641357,0.04992546886205673,0.2786487089997536
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.743414292410143,0.38785455280162795,0.7135627269744873,0.038838524371385574,0.2749308749998818
Indian_pines,CatBoost,8229,915,8,0.12356608908752288,0.06764676101141542,0.9584699273109436,0.025562454015016556,5.121275041999979
Indian_pines,ExtraTrees,8229,915,8,0.1813364822960758,0.10596717752267419,0.9333333373069763,0.029294928535819054,0.9058776250003575
Indian_pines,LightGBM,8229,915,8,0.10702934984412993,0.057779963990462806,0.9650273323059082,0.023399468511343002,1.0442157920006139
Indian_pines,LinearModel,8229,915,8,0.2058779482745044,0.1110457995261876,0.9300546646118164,0.019824156537652016,1.0592533330000151
Indian_pines,NeuralNetFastAI,8229,915,8,0.09792463244963148,0.05316790595510473,0.9672130942344666,0.022815290838479996,0.7313977089997934
Indian_pines,NeuralNetTorch,8229,915,8,0.08389718164626962,0.04470914630405333,0.9693989157676697,0.016331225633621216,0.9474689170001511
Indian_pines,RandomForest,8229,915,8,0.19370481958804558,0.11286182632213734,0.9278688430786133,0.027104275301098824,1.2436627080005564
Indian_pines,XGBoost,8229,915,8,0.11786311098262092,0.06466307203939643,0.9617486596107483,0.022896749898791313,0.858137084000191
LED-display-domain-7digit,CatBoost,450,50,10,0.8175710422895344,0.40417929305259315,0.7200000286102295,0.17656350135803223,4.664970040999833
LED-display-domain-7digit,ExtraTrees,450,50,10,0.8808968384534163,0.41741214429094464,0.699999988079071,0.17417821288108826,0.37505112500002724
LED-display-domain-7digit,LightGBM,450,50,10,0.7846592849154514,0.3875321027983996,0.699999988079071,0.16122747957706451,0.28093845799958217
LED-display-domain-7digit,LinearModel,450,50,10,0.7950613590788782,0.40189109137231527,0.699999988079071,0.11867576092481613,0.334502832999533
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.7830524338742341,0.3935043887787481,0.699999988079071,0.1598852574825287,0.34542570899975544
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.7677988546338201,0.39625128565708373,0.699999988079071,0.10515522956848145,0.2723755830002119
LED-display-domain-7digit,RandomForest,450,50,10,0.8380398472011251,0.42207250773555527,0.6600000262260437,0.13119292259216309,0.38066075000006094
LED-display-domain-7digit,XGBoost,450,50,10,0.8031776038966484,0.40175243543003547,0.699999988079071,0.1842583268880844,0.3291636670001026
MiceProtein,CatBoost,972,108,8,0.005608036124305104,0.002389338669015654,1.0,0.004545774310827255,2.6252229580004496
MiceProtein,ExtraTrees,972,108,8,0.017781962462893465,0.012062049725782224,0.9907407164573669,0.009409722872078419,0.6800098330004403
MiceProtein,LightGBM,972,108,8,0.0006762873735603561,4.636189726091311e-05,1.0,0.0006644725799560547,0.7379920419998598
MiceProtein,LinearModel,972,108,8,0.0027815835707684453,0.0003163783972580698,1.0,0.0026976047083735466,0.7092721669996536
MiceProtein,NeuralNetFastAI,972,108,8,0.0002611268072833671,1.3396491912095158e-06,1.0,0.0002613663673400879,0.6942883340007029
MiceProtein,NeuralNetTorch,972,108,8,9.518826931695286e-05,2.9222012832305426e-08,1.0,9.524822235107422e-05,0.6954370419998668
MiceProtein,RandomForest,972,108,8,0.8711340668905728,0.047827666148203676,0.9629629850387573,0.031878355890512466,0.6498934999999619
MiceProtein,XGBoost,972,108,8,0.019147965478316768,0.010804612311237041,0.9907407164573669,0.0077178096398711205,0.559899249999944
Traffic_violations,CatBoost,63306,7034,3,0.40362541011658076,0.2680521076321723,0.8001137375831604,0.008871630765497684,2.789756417000717
Traffic_violations,ExtraTrees,63306,7034,3,0.41952252951573,0.27781683439248367,0.7901620864868164,0.007899858988821507,0.4059767089993329
Traffic_violations,LightGBM,63306,7034,3,0.4109483416431224,0.27197970456261233,0.795706570148468,0.008341915905475616,0.4735110000001441
Traffic_violations,LinearModel,63306,7034,3,0.4155333802933335,0.2761921845162378,0.791015088558197,0.009682347998023033,0.4735115419998692
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.4133706239760297,0.27555093942927955,0.7928632497787476,0.007285920903086662,0.39859487500052637
