dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
Diabetes130US,CatBoost,91589,10177,3,0.49491971491623277,0.8328117769266807,0.00856596790254116,0.6200255751609802,0.02319549210369587
Diabetes130US,ExtraTrees,91589,10177,3,0.5084479495200332,0.8532421819272619,0.009609446860849857,0.6087255477905273,0.021786168217658997
Diabetes130US,LightGBM,91589,10177,3,0.49809362091424314,0.8386479618274046,0.011127579025924206,0.6194359660148621,0.022480444982647896
Diabetes130US,LinearModel,91589,10177,3,0.5275076172860428,0.8809450133943364,0.01600746437907219,0.5924142599105835,0.020853625610470772
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5049909276082954,0.8495225622559527,0.01677006110548973,0.6156038045883179,0.021042875945568085
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5130082684389475,0.8606586741124737,0.013432633131742477,0.6052864193916321,0.022790737450122833
Diabetes130US,RandomForest,91589,10177,3,0.5075748618323219,0.8528839234906322,0.01430897694081068,0.6068586111068726,0.02223801426589489
Diabetes130US,XGBoost,91589,10177,3,0.496188604734548,0.8338241753147411,0.009427523240447044,0.6178638339042664,0.021561412140727043
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3927759177565971,0.7853092285349289,0.048937540501356125,0.7216598987579346,0.005552701652050018
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4184546693712036,0.8143331106521458,0.05503819137811661,0.7054656147956848,0.005136676132678986
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3961004780596008,0.7914478440876886,0.05058949068188667,0.7105262875556946,0.005262466147542
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6466678452001281,1.2628532661646488,0.03650316968560219,0.47064778208732605,0.005164658650755882
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5121593810490105,0.9999493002020101,0.03716719150543213,0.6325910687446594,0.005160430446267128
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4968040472516582,0.9794260842542332,0.04738093540072441,0.6417003870010376,0.005198080092668533
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4332065522280907,0.8358194372003962,0.046662941575050354,0.6801619529724121,0.005139937624335289
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3997730851176699,0.8019742549848037,0.05445501208305359,0.7135627269744873,0.005100289359688759
Indian_pines,CatBoost,8229,915,8,0.07090183731907489,0.14460701021359476,0.02559012547135353,0.9584699273109436,0.0071856435388326645
Indian_pines,ExtraTrees,8229,915,8,0.10438616070682699,0.2532040820882865,0.018553704023361206,0.9344262480735779,0.007189720869064331
Indian_pines,LightGBM,8229,915,8,0.05660040818199659,0.12373572024325058,0.019728560000658035,0.9672130942344666,0.00725371390581131
Indian_pines,LinearModel,8229,915,8,0.12394829941401014,0.39633931213627105,0.012765779159963131,0.9180327653884888,0.007018866017460823
