dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
Diabetes130US,CatBoost,91589,10177,3,0.4973314702510834,0.8378127217292786,0.01378855761140585,0.6195342540740967,8.409341406077147
Diabetes130US,ExtraTrees,91589,10177,3,0.5107972621917725,0.8588350415229797,0.016837401315569878,0.608135998249054,8.417940815910697
Diabetes130US,LightGBM,91589,10177,3,0.5000767707824707,0.8421346545219421,0.012400408275425434,0.6174707412719727,8.46073143556714
Diabetes130US,LinearModel,91589,10177,3,0.5293360948562622,0.8839160203933716,0.01644117385149002,0.5890734195709229,8.421113764867187
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5074037909507751,0.8533803224563599,0.023535994812846184,0.6191412210464478,8.440958997234702
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5146108269691467,0.8644118309020996,0.014394174329936504,0.6060725450515747,8.410077437758446
Diabetes130US,RandomForest,91589,10177,3,0.5089403390884399,0.8562948703765869,0.013877223245799541,0.6073499321937561,8.366952499374747
Diabetes130US,XGBoost,91589,10177,3,0.4981556534767151,0.8384776711463928,0.008905133232474327,0.6204186081886292,8.400252619758248
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.4095093905925751,0.804591953754425,0.08060082048177719,0.7125505805015564,1.0857087820768356
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.43954840302467346,0.8466138243675232,0.03283179923892021,0.6801619529724121,1.0798725187778473
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.4085844159126282,0.8012315034866333,0.0823899582028389,0.7054656147956848,1.065745608881116
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6450015306472778,1.2503107786178589,0.04674854129552841,0.48178136348724365,1.0661015957593918
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5126782655715942,0.9941558241844177,0.037059422582387924,0.6325910687446594,1.0755680445581675
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.5005887150764465,0.9722239375114441,0.04317000135779381,0.6305667757987976,1.074069956317544
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4459725618362427,0.857798159122467,0.03894679248332977,0.6680161952972412,1.094793563708663
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.41229963302612305,0.8121773600578308,0.07971581816673279,0.7095141410827637,1.0702469181269407
Indian_pines,CatBoost,8229,915,8,0.07453037053346634,0.14285387098789215,0.018045879900455475,0.9508196711540222,1.4674153588712215
Indian_pines,ExtraTrees,8229,915,8,0.11357152462005615,0.20922431349754333,0.02683454379439354,0.9267759323120117,1.4793423768132925
Indian_pines,LightGBM,8229,915,8,0.057004909962415695,0.11617705225944519,0.014218730852007866,0.9661202430725098,1.4799267333000898
Indian_pines,LinearModel,8229,915,8,0.1184084564447403,0.22587332129478455,0.019102320075035095,0.9234972596168518,1.4743684995919466
Indian_pines,NeuralNetFastAI,8229,915,8,0.05708608403801918,0.11478537321090698,0.015285463072359562,0.9683060050010681,1.4711675085127354
