dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
Diabetes130US,CatBoost,91589,10177,3,0.4927384853363037,0.827874481678009,0.0076761869713664055,0.6221872568130493,0.37813152372837067
Diabetes130US,ExtraTrees,91589,10177,3,0.5056285858154297,0.8477128744125366,0.007402529940009117,0.6108872890472412,0.42168901301920414
Diabetes130US,LightGBM,91589,10177,3,0.49709901213645935,0.8352925777435303,0.010785186663269997,0.6211064457893372,0.4228278212249279
Diabetes130US,LinearModel,91589,10177,3,0.5260209441184998,0.87788987159729,0.01669071801006794,0.5912351608276367,0.2894377140328288
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5031018853187561,0.8442315459251404,0.016432303935289383,0.6173725128173828,0.3184592528268695
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5107376575469971,0.8557083606719971,0.008258895948529243,0.6082342267036438,0.3784776646643877
Diabetes130US,RandomForest,91589,10177,3,0.5045279264450073,0.8462498784065247,0.004242385271936655,0.608430802822113,0.23720020055770874
Diabetes130US,XGBoost,91589,10177,3,0.4941237270832062,0.8288531303405762,0.01000645849853754,0.6219907402992249,0.32919452525675297
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3859597444534302,0.7387866377830505,0.037001848220825195,0.7155870199203491,0.13019197713583708
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.40637603402137756,0.7784975171089172,0.04711645096540451,0.6963562965393066,0.23261508904397488
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3833855390548706,0.733013391494751,0.0407177209854126,0.7145748734474182,0.1322822030633688
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6412414312362671,1.2499233484268188,0.04960476607084274,0.47267207503318787,0.19733873289078474
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5086671710014343,0.9744348526000977,0.03821554034948349,0.6285424828529358,0.14980145264416933
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4922150671482086,0.9477793574333191,0.04197065532207489,0.6346153616905212,0.15575072914361954
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4205138683319092,0.8182175755500793,0.045383237302303314,0.6831983923912048,0.20558642223477364
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3875020146369934,0.7414786219596863,0.046872444450855255,0.7155870199203491,0.13376972638070583
Indian_pines,CatBoost,8229,915,8,0.06656298786401749,0.12142869085073471,0.02814670093357563,0.9595628380775452,0.6497378339990973
