dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
Diabetes130US,CatBoost,91589,10177,3,0.49273787519267975,0.827889084783263,0.007653448265045881,0.6220890283584595,0.7337530869990587
Diabetes130US,ExtraTrees,91589,10177,3,0.5056157624483032,0.847683438208101,0.007697137538343668,0.6109855771064758,0.6509103067219257
Diabetes130US,LightGBM,91589,10177,3,0.4971430164044027,0.8353836809951742,0.011495307087898254,0.621204674243927,0.7750686528161168
Diabetes130US,LinearModel,91589,10177,3,0.5260147473118335,0.8778673647498391,0.016488011926412582,0.5907438397407532,0.7637019418179989
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030837439728281,0.8441956887780733,0.016407858580350876,0.6175690293312073,0.6507647121325135
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5107564345431436,0.8557554657827131,0.006493960507214069,0.6076446771621704,0.46831623930484056
Diabetes130US,RandomForest,91589,10177,3,0.5045421671961016,0.8462566214726561,0.0047353776171803474,0.6089220643043518,0.6952292574569583
Diabetes130US,XGBoost,91589,10177,3,0.4941200977991822,0.8288512097389802,0.010733556933701038,0.6221872568130493,0.7148755397647619
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3859422539988278,0.7388216940552617,0.03675428032875061,0.7155870199203491,0.20494905952364206
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.403720228523866,0.7712716901268084,0.03913409262895584,0.703441321849823,0.2671991577371955
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3835405137324287,0.7335540057918841,0.04038763791322708,0.7145748734474182,0.20392278861254454
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6429023770565889,1.2515868667924646,0.043995924293994904,0.46862348914146423,0.2582170218229294
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5086952936796247,0.9744814544899029,0.04223451018333435,0.6285424828529358,0.21324344724416733
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4921983552618744,0.9475036629617416,0.04162394627928734,0.6346153616905212,0.1647662753239274
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4185254755837634,0.7968844446149133,0.035663753747940063,0.6852226853370667,0.26675840094685555
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.38767237477881916,0.7421570031567839,0.044065237045288086,0.7135627269744873,0.2141200602054596
Indian_pines,CatBoost,8229,915,8,0.06933991651938469,0.12563349780897493,0.02619771845638752,0.9573770761489868,0.4088969314470887
Indian_pines,ExtraTrees,8229,915,8,0.1055883689245855,0.18177649832795556,0.028409000486135483,0.9344262480735779,0.4009841103106737
Indian_pines,LightGBM,8229,915,8,0.058397659294069364,0.10961417711846647,0.018466992303729057,0.9628415107727051,0.3857919564470649
Indian_pines,LinearModel,8229,915,8,0.11265334461143037,0.20783798596711736,0.023980872705578804,0.9278688430786133,0.4365858184173703
Indian_pines,NeuralNetFastAI,8229,915,8,0.05260802568842916,0.0971695140983801,0.02203306555747986,0.9693989157676697,0.38713540881872177
Indian_pines,NeuralNetTorch,8229,915,8,0.04522723818434078,0.08521270841961323,0.016334310173988342,0.971584677696228,0.36852370016276836
Indian_pines,RandomForest,8229,915,8,0.11129762046177155,0.19124970984189912,0.023837940767407417,0.9300546646118164,0.4391722856089473
Indian_pines,XGBoost,8229,915,8,0.06538442098914575,0.11925836404398119,0.02257312834262848,0.9595628380775452,0.35337420273572206
LED-display-domain-7digit,CatBoost,450,50,10,0.39968399265694904,0.8141141051607653,0.1323855221271515,0.7200000286102295,0.045159267261624336
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3753849952235686,0.7532732235489678,0.2345087081193924,0.7799999713897705,0.0702887549996376
LED-display-domain-7digit,LightGBM,450,50,10,0.3508427116009832,0.7179603838214976,0.1611434519290924,0.7799999713897705,0.05558363348245621
LED-display-domain-7digit,LinearModel,450,50,10,0.3663118419982105,0.7341577891333617,0.1575731784105301,0.7200000286102295,0.06844835821539164
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3604299670355606,0.7259409854600901,0.14344556629657745,0.7400000095367432,0.04969644732773304
