dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
Diabetes130US,CatBoost,91589,10177,3,0.4927125871181488,0.8279481530189514,0.006564184557646513,0.6228750944137573,0.5263634566217661
Diabetes130US,ExtraTrees,91589,10177,3,0.5056639313697815,0.8477606773376465,0.009132840670645237,0.6097081899642944,0.5696121975779533
Diabetes130US,LightGBM,91589,10177,3,0.497079998254776,0.8353179693222046,0.010109457187354565,0.6211064457893372,0.6152952509000897
Diabetes130US,LinearModel,91589,10177,3,0.5266258716583252,0.8786069750785828,0.015324371866881847,0.5881890654563904,0.6506017232313752
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030632615089417,0.8442748785018921,0.015850450843572617,0.6179620623588562,0.5093737142160535
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5108064413070679,0.8557431697845459,0.0076054660603404045,0.6082342267036438,0.5992602529004216
Diabetes130US,RandomForest,91589,10177,3,0.5045162439346313,0.8462423086166382,0.005339501425623894,0.607742965221405,0.7748644454404712
Diabetes130US,XGBoost,91589,10177,3,0.49408361315727234,0.8289517760276794,0.01101993303745985,0.6221872568130493,0.5069564804434776
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.38704630732536316,0.7416737079620361,0.042636480182409286,0.7125505805015564,0.11069346126168966
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4100137948989868,0.787290632724762,0.04816466569900513,0.6963562965393066,0.11589318513870239
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.38649654388427734,0.7412781715393066,0.035714033991098404,0.7145748734474182,0.10010404884815216
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6528813242912292,1.2676864862442017,0.03810002654790878,0.4665991961956024,0.11165585462003946
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5083187818527222,0.9741373658180237,0.05149320140480995,0.6305667757987976,0.10305454954504967
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.49128299951553345,0.9458553791046143,0.04497985169291496,0.637651801109314,0.08873617462813854
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4233814477920532,0.8073199987411499,0.0559048056602478,0.6781376600265503,0.10308931767940521
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3897410035133362,0.7476460337638855,0.04982967674732208,0.7155870199203491,0.1112262150272727
Indian_pines,CatBoost,8229,915,8,0.07198356091976166,0.13064634799957275,0.031036943197250366,0.9519125819206238,0.16808280069380999
