dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
Diabetes130US,CatBoost,91589,10177,3,0.49281567335128784,0.8281500339508057,0.0062955329194664955,0.6229733824729919,0.28640955314040184
Diabetes130US,ExtraTrees,91589,10177,3,0.5062915086746216,0.8490725159645081,0.011619926430284977,0.6107890605926514,0.2733112834393978
Diabetes130US,LightGBM,91589,10177,3,0.4971791207790375,0.8356100916862488,0.011087528429925442,0.6208116412162781,0.2734815254807472
Diabetes130US,LinearModel,91589,10177,3,0.5268425345420837,0.879750669002533,0.013562677428126335,0.5932003259658813,0.27770718932151794
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5031320452690125,0.8444071412086487,0.017095889896154404,0.6176673173904419,0.2752085365355015
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5107758641242981,0.8556875586509705,0.00882605742663145,0.6066620945930481,0.28760478273034096
Diabetes130US,RandomForest,91589,10177,3,0.504876434803009,0.8469429016113281,0.006527995690703392,0.607742965221405,0.2816489189863205
Diabetes130US,XGBoost,91589,10177,3,0.49426624178886414,0.8293548226356506,0.01115089375525713,0.6237594485282898,0.2808353342115879
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3924359083175659,0.7518996596336365,0.035827964544296265,0.7105262875556946,0.038664717227220535
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4252510964870453,0.8153301477432251,0.037806689739227295,0.6953441500663757,0.03859691321849823
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.397845059633255,0.7662290334701538,0.026876278221607208,0.7125505805015564,0.03839467465877533
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6513559222221375,1.2694381475448608,0.03602851182222366,0.4635627567768097,0.038586389273405075
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5096328854560852,0.9770833849906921,0.04619120806455612,0.6285424828529358,0.03855748847126961
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4925333261489868,0.9471018314361572,0.04844813048839569,0.6346153616905212,0.03855414688587189
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.43431299924850464,0.8407915830612183,0.051231056451797485,0.6751012206077576,0.03919314965605736
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.40083158016204834,0.7707623243331909,0.04539981484413147,0.7115384340286255,0.03909783810377121
Indian_pines,CatBoost,8229,915,8,0.07318780571222305,0.13244561851024628,0.0268663689494133,0.9508196711540222,0.049404945224523544
Indian_pines,ExtraTrees,8229,915,8,0.10868488252162933,0.1877887099981308,0.025817036628723145,0.9344262480735779,0.049953486770391464
Indian_pines,LightGBM,8229,915,8,0.06051059439778328,0.1207360103726387,0.029317157343029976,0.9661202430725098,0.04985475167632103
Indian_pines,LinearModel,8229,915,8,0.11872637271881104,0.2231886088848114,0.02809845469892025,0.9256830811500549,0.05180280655622482
Indian_pines,NeuralNetFastAI,8229,915,8,0.05397726595401764,0.09918046742677689,0.010960612446069717,0.9672130942344666,0.05089719966053963
Indian_pines,NeuralNetTorch,8229,915,8,0.04697149246931076,0.08867938071489334,0.01826043799519539,0.9683060050010681,0.05001329630613327
Indian_pines,RandomForest,8229,915,8,0.11405827850103378,0.1964750587940216,0.03384773060679436,0.9355190992355347,0.05018952861428261
Indian_pines,XGBoost,8229,915,8,0.06764815002679825,0.12375146150588989,0.02540169656276703,0.9584699273109436,0.04977019131183624
LED-display-domain-7digit,CatBoost,450,50,10,0.39630162715911865,0.8177610039710999,0.12406598776578903,0.7200000286102295,0.005654539912939072
LED-display-domain-7digit,ExtraTrees,450,50,10,0.36358678340911865,0.7476807236671448,0.17365732789039612,0.800000011920929,0.005514003336429596
LED-display-domain-7digit,LightGBM,450,50,10,0.34483852982521057,0.708525538444519,0.14389899373054504,0.7799999713897705,0.005446635186672211
LED-display-domain-7digit,LinearModel,450,50,10,0.3624151945114136,0.7303362488746643,0.1710028052330017,0.7200000286102295,0.0053493306040763855
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.36828717589378357,0.7479907870292664,0.1402624249458313,0.7200000286102295,0.005403522402048111
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3578871786594391,0.703193724155426,0.2043994963169098,0.7200000286102295,0.005559742450714111
LED-display-domain-7digit,RandomForest,450,50,10,0.3782837390899658,0.7680270671844482,0.14804846048355103,0.7200000286102295,0.0056401267647743225
LED-display-domain-7digit,XGBoost,450,50,10,0.37685349583625793,0.782382071018219,0.14567989110946655,0.7200000286102295,0.005567092448472977
MiceProtein,CatBoost,972,108,8,0.0019166626734659076,0.004677378106862307,0.003978309221565723,1.0,0.008079465478658676
MiceProtein,ExtraTrees,972,108,8,0.0025442810729146004,0.0048891096375882626,0.003980475477874279,1.0,0.008346904069185257
MiceProtein,LightGBM,972,108,8,0.0,0.0,1.1920928955078125e-07,1.0,0.008389841765165329
MiceProtein,LinearModel,972,108,8,0.001645331853069365,0.009521747007966042,0.009039273485541344,1.0,0.007890921086072922
MiceProtein,NeuralNetFastAI,972,108,8,0.0,0.0,1.1920928955078125e-07,1.0,0.008511010557413101
MiceProtein,NeuralNetTorch,972,108,8,0.0,0.0,1.1920928955078125e-07,1.0,0.008193310350179672
MiceProtein,RandomForest,972,108,8,0.07718146592378616,0.20648247003555298,0.0335816964507103,0.9444444179534912,0.008048426359891891
MiceProtein,XGBoost,972,108,8,0.02097431570291519,0.034546371549367905,0.02522178180515766,0.9722222089767456,0.008035652339458466
Traffic_violations,CatBoost,63306,7034,3,0.26805275678634644,0.403448224067688,0.011111248284578323,0.7998294234275818,0.19266535341739655
Traffic_violations,ExtraTrees,63306,7034,3,0.2776763439178467,0.4196133017539978,0.007278133183717728,0.790446400642395,0.19152585789561272
Traffic_violations,LightGBM,63306,7034,3,0.2719363272190094,0.41060298681259155,0.008647505193948746,0.7959908843040466,0.19246169924736023
Traffic_violations,LinearModel,63306,7034,3,0.2767474055290222,0.4174423813819885,0.009993234649300575,0.7908729314804077,0.1886846236884594
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27555137872695923,0.41317903995513916,0.007035952527076006,0.7932897210121155,0.1885484829545021
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889573276042938,0.4379594027996063,0.010708658024668694,0.7817742228507996,0.19113589078187943
Traffic_violations,RandomForest,63306,7034,3,0.2735210657119751,0.4113523066043854,0.014005444012582302,0.7942848801612854,0.18938018754124641
Traffic_violations,XGBoost,63306,7034,3,0.27293264865875244,0.40957900881767273,0.006613845005631447,0.7931475639343262,0.19105804339051247
UMIST_Faces_Cropped,CatBoost,517,58,20,0.00394344050437212,0.011470030061900616,0.00960996188223362,1.0,0.003983743488788605
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.0039006490260362625,0.009980639442801476,0.008351599797606468,1.0,0.004035111516714096
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05474800989031792,0.18883486092090607,0.02658144012093544,0.9655172228813171,0.003910791128873825
UMIST_Faces_Cropped,LinearModel,517,58,20,0.044830434024333954,0.12546943128108978,0.026189271360635757,0.9655172228813171,0.00380118191242218
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03448275849223137,1.5058025121688843,0.0172387957572937,0.982758641242981,0.0041375309228897095
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.03448275849223137,1.5058025121688843,0.0172387957572937,0.982758641242981,0.0040399469435215
UMIST_Faces_Cropped,RandomForest,517,58,20,0.012345116585493088,0.023301269859075546,0.010406995192170143,0.982758641242981,0.0038776546716690063
UMIST_Faces_Cropped,XGBoost,517,58,20,0.0803537517786026,0.21853554248809814,0.046136923134326935,0.9137930870056152,0.003879941999912262
