dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
Diabetes130US,CatBoost,91589,10177,3,0.49340617656707764,0.8295161724090576,0.01076439768075943,0.6219907402992249,0.7895380593836308
Diabetes130US,ExtraTrees,91589,10177,3,0.5061417818069458,0.8494169116020203,0.008548375219106674,0.6090203523635864,0.7686493620276451
Diabetes130US,LightGBM,91589,10177,3,0.49766045808792114,0.83676677942276,0.013063482008874416,0.619828999042511,0.7719282060861588
Diabetes130US,LinearModel,91589,10177,3,0.5259789228439331,0.8785008192062378,0.011768786236643791,0.593593418598175,0.779426783323288
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5039452910423279,0.8462508320808411,0.020920058712363243,0.618748128414154,0.7705335170030594
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5117484927177429,0.857938826084137,0.010113419033586979,0.6072516441345215,0.779630396515131
Diabetes130US,RandomForest,91589,10177,3,0.5051426291465759,0.8480829000473022,0.01064777560532093,0.6078411936759949,0.7677033916115761
Diabetes130US,XGBoost,91589,10177,3,0.49444127082824707,0.8304197192192078,0.013648025691509247,0.6233664155006409,0.7672107294201851
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.38798418641090393,0.7624596953392029,0.05802280083298683,0.7196356058120728,0.17238608375191689
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4063311219215393,0.7952520847320557,0.07246032357215881,0.7074899077415466,0.1714714653789997
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39114800095558167,0.768351674079895,0.05682412162423134,0.7145748734474182,0.16816584020853043
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6306682229042053,1.2243938446044922,0.042017269879579544,0.5030364394187927,0.17149587348103523
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.507530927658081,0.9884233474731445,0.06987673044204712,0.637651801109314,0.17331645637750626
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.496207058429718,0.9713183641433716,0.07230636477470398,0.6447368264198303,0.17294349521398544
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.423286497592926,0.8236461877822876,0.05393669009208679,0.6872469782829285,0.17134562879800797
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3906031548976898,0.7681813836097717,0.06165604293346405,0.7196356058120728,0.17112546414136887
Indian_pines,CatBoost,8229,915,8,0.07253506034612656,0.16616679728031158,0.06486832350492477,0.9606557488441467,0.24321459606289864
Indian_pines,ExtraTrees,8229,915,8,0.1078111007809639,0.22051499783992767,0.05543290823698044,0.9344262480735779,0.17910247296094894
Indian_pines,LightGBM,8229,915,8,0.061343517154455185,0.14747978746891022,0.05386795476078987,0.9639344215393066,0.18142962083220482
Indian_pines,LinearModel,8229,915,8,0.11362841725349426,0.2356598973274231,0.053973957896232605,0.9289617538452148,0.17616703733801842
Indian_pines,NeuralNetFastAI,8229,915,8,0.05652257800102234,0.135888010263443,0.04742176830768585,0.9661202430725098,0.23593354225158691
Indian_pines,NeuralNetTorch,8229,915,8,0.050186995416879654,0.12642471492290497,0.054416149854660034,0.9737704992294312,0.18872882053256035
Indian_pines,RandomForest,8229,915,8,0.11164659261703491,0.22732393443584442,0.06074606999754906,0.9355190992355347,0.17994686216115952
Indian_pines,XGBoost,8229,915,8,0.06930472701787949,0.157648503780365,0.05853826552629471,0.9606557488441467,0.24222484230995178
LED-display-domain-7digit,CatBoost,450,50,10,0.38807743787765503,0.8616378307342529,0.17894645035266876,0.7799999713897705,0.13652846217155457
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3919571340084076,0.9276853799819946,0.11494787037372589,0.7200000286102295,0.1523832604289055
LED-display-domain-7digit,LightGBM,450,50,10,0.378261536359787,0.8345058560371399,0.12112817913293839,0.7200000286102295,0.13211173936724663
LED-display-domain-7digit,LinearModel,450,50,10,0.37155288457870483,0.8454383015632629,0.13095809519290924,0.7400000095367432,0.13327648490667343
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.37952107191085815,0.8389685153961182,0.09269401431083679,0.7400000095367432,0.13267720490694046
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.35743510723114014,0.8015933036804199,0.18196038901805878,0.7200000286102295,0.13279900699853897
LED-display-domain-7digit,RandomForest,450,50,10,0.3863949477672577,0.9053181409835815,0.15362320840358734,0.699999988079071,0.14638888835906982
LED-display-domain-7digit,XGBoost,450,50,10,0.38992932438850403,0.8575996160507202,0.15399287641048431,0.699999988079071,0.13717877119779587
MiceProtein,CatBoost,972,108,8,0.016100836917757988,0.0840751975774765,0.07059676945209503,0.9907407164573669,0.08997035026550293
MiceProtein,ExtraTrees,972,108,8,0.015111871063709259,0.08359946310520172,0.06801048666238785,0.9907407164573669,0.07923705875873566
MiceProtein,LightGBM,972,108,8,0.01391378603875637,0.08333393186330795,0.06880910694599152,0.9907407164573669,0.0789463259279728
MiceProtein,LinearModel,972,108,8,0.0060594468377530575,0.06937889009714127,0.06663047522306442,1.0,0.0708373598754406
MiceProtein,NeuralNetFastAI,972,108,8,0.02113431505858898,0.10366879403591156,0.07266265153884888,0.9907407164573669,0.06879588216543198
MiceProtein,NeuralNetTorch,972,108,8,0.014954633079469204,0.09022194892168045,0.06897800415754318,0.9907407164573669,0.04266274720430374
MiceProtein,RandomForest,972,108,8,0.07342973351478577,0.1995590329170227,0.0805814117193222,0.9444444179534912,0.07762997969985008
MiceProtein,XGBoost,972,108,8,0.027119087055325508,0.10458371043205261,0.07927249372005463,0.9722222089767456,0.09539570286870003
Traffic_violations,CatBoost,63306,7034,3,0.26906102895736694,0.41602230072021484,0.02184850350022316,0.7992607355117798,0.4870081692934036
Traffic_violations,ExtraTrees,63306,7034,3,0.27829664945602417,0.42929717898368835,0.019196486100554466,0.7911572456359863,0.46059390902519226
Traffic_violations,LightGBM,63306,7034,3,0.27303338050842285,0.4223445951938629,0.019080014899373055,0.7958487272262573,0.5005841702222824
Traffic_violations,LinearModel,63306,7034,3,0.27748337388038635,0.42721694707870483,0.020608119666576385,0.7890247106552124,0.49185025319457054
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27676013112068176,0.42614486813545227,0.02397550642490387,0.7937162518501282,0.48917167633771896
Traffic_violations,NeuralNetTorch,63306,7034,3,0.290150910615921,0.45040440559387207,0.023149846121668816,0.7817742228507996,0.495587095618248
Traffic_violations,RandomForest,63306,7034,3,0.2745225131511688,0.4232681393623352,0.02765858918428421,0.7961330413818359,0.4605451449751854
Traffic_violations,XGBoost,63306,7034,3,0.2738836705684662,0.4215524196624756,0.01870987005531788,0.7928632497787476,0.4897671267390251
UMIST_Faces_Cropped,CatBoost,517,58,20,0.05424049124121666,0.2472541481256485,0.1054607704281807,0.9655172228813171,0.2851589433848858
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.059263478964567184,0.251258909702301,0.09044871479272842,0.9482758641242981,0.1608172506093979
UMIST_Faces_Cropped,LightGBM,517,58,20,0.07014758139848709,0.27637189626693726,0.08297736942768097,0.9655172228813171,0.3013386204838753
UMIST_Faces_Cropped,LinearModel,517,58,20,0.07487037777900696,0.3007621765136719,0.08920643478631973,0.931034505367279,0.12848224863409996
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.14911232888698578,0.5377245545387268,0.11406014859676361,0.8620689511299133,0.07396792620420456
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.17282766103744507,0.6061052680015564,0.08757439255714417,0.8275862336158752,0.06186339259147644
UMIST_Faces_Cropped,RandomForest,517,58,20,0.04486989974975586,0.20296253263950348,0.09221651405096054,0.9655172228813171,0.17550331354141235
UMIST_Faces_Cropped,XGBoost,517,58,20,0.08524984121322632,0.31920599937438965,0.1112261638045311,0.9482758641242981,0.3448326215147972
analcatdata_authorship,CatBoost,756,85,4,0.055861275643110275,0.13497743010520935,0.06930281221866608,0.9647058844566345,0.040666770190000534
analcatdata_authorship,ExtraTrees,756,85,4,0.03700057044625282,0.09943851828575134,0.06329918652772903,0.9764705896377563,0.03984414041042328
analcatdata_authorship,LightGBM,756,85,4,0.028799355030059814,0.09588835388422012,0.03538127616047859,0.9882352948188782,0.03488246351480484
analcatdata_authorship,LinearModel,756,85,4,0.03441218286752701,0.10147498548030853,0.051887147128582,0.9764705896377563,0.031129561364650726
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.6274396181106567,1.1150399446487427,0.05575236678123474,0.43529412150382996,0.02390812337398529
analcatdata_authorship,NeuralNetTorch,756,85,4,0.23413097858428955,0.4493209719657898,0.11644327640533447,0.729411780834198,0.02392585575580597
analcatdata_authorship,RandomForest,756,85,4,0.0465911403298378,0.12328850477933884,0.07052051275968552,0.9764705896377563,0.041139207780361176
analcatdata_authorship,XGBoost,756,85,4,0.02688760496675968,0.07706182450056076,0.06087028980255127,0.9764705896377563,0.039483699947595596
analcatdata_dmft,CatBoost,717,80,6,0.8244684338569641,1.7621791362762451,0.058256637305021286,0.1875,0.08281560242176056
analcatdata_dmft,ExtraTrees,717,80,6,0.8443318605422974,1.8130143880844116,0.0767882764339447,0.21250000596046448,0.08176374435424805
analcatdata_dmft,LightGBM,717,80,6,0.8226534724235535,1.7590011358261108,0.07040310651063919,0.26249998807907104,0.08377249911427498
analcatdata_dmft,LinearModel,717,80,6,0.8391022682189941,1.7969019412994385,0.07285483926534653,0.1875,0.0807676836848259
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.822666347026825,1.74970281124115,0.08580061793327332,0.1875,0.08272694423794746
analcatdata_dmft,NeuralNetTorch,717,80,6,0.805773913860321,1.7047380208969116,0.038493089377880096,0.22499999403953552,0.08099890127778053
analcatdata_dmft,RandomForest,717,80,6,0.8250800371170044,1.772357702255249,0.06868121027946472,0.26249998807907104,0.08032362163066864
analcatdata_dmft,XGBoost,717,80,6,0.8165463209152222,1.7390754222869873,0.10835687816143036,0.20000000298023224,0.08045832067728043
artificial-characters,CatBoost,9196,1022,10,0.0907159075140953,0.24585965275764465,0.09487216919660568,0.9500978589057922,0.3920056074857712
